date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:50	596787/596787	---MCZ	200	added ('OK')	text/html	etag:W/%22160a9bd848dc6f2f5c711b0c8edb894d%22	https://saraannrochford.wixsite.com/mysite	C:/My%20Web%20Sites/BMoC%20Website/saraannrochford.wixsite.com/mysite.html	(from )
14:14:50	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://saraannrochford.wixsite.com/robots.txt		(from )
14:14:50	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/My%20Web%20Sites/BMoC%20Website/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://saraannrochford.wixsite.com/mysite)
14:14:50	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/BMoC%20Website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://saraannrochford.wixsite.com/mysite)
14:14:51	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/BMoC%20Website/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://saraannrochford.wixsite.com/mysite)
14:14:51	65591/65591	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2013%20Feb%202024%2019:14:50%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/BMoC%20Website/polyfill.io/v3/polyfill.mind82c.js	(from https://saraannrochford.wixsite.com/mysite)
14:14:52	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202024%2019:14:51%20GMT	https://saraannrochford.wixsite.com/	C:/My%20Web%20Sites/BMoC%20Website/saraannrochford.wixsite.com/index.html	(from https://saraannrochford.wixsite.com/mysite)
14:14:54	603665/603665	---MCZ	200	added ('OK')	text/html	etag:W/%226f16de548a07beed29ff816ee44d64e0%22	https://saraannrochford.wixsite.com/mysite/about	C:/My%20Web%20Sites/BMoC%20Website/saraannrochford.wixsite.com/mysite/about.html	(from https://saraannrochford.wixsite.com/mysite)
14:14:55	628630/628630	---MCZ	200	added ('OK')	text/html	etag:W/%225d0108b7b92c3666fcf6030428a0debf%22	https://saraannrochford.wixsite.com/mysite/candidates	C:/My%20Web%20Sites/BMoC%20Website/saraannrochford.wixsite.com/mysite/candidates.html	(from https://saraannrochford.wixsite.com/mysite)
14:14:57	601947/601947	---MCZ	200	added ('OK')	text/html	etag:W/%22b672e2b0dafaddd5e368d24eae207862%22	https://saraannrochford.wixsite.com/mysite/voting-1	C:/My%20Web%20Sites/BMoC%20Website/saraannrochford.wixsite.com/mysite/voting-1.html	(from https://saraannrochford.wixsite.com/mysite)
